Data,Dia Semana,Meta Receita HERING ADULTO,Meta Receita KIDS,Meta Receita TOTAL,Meta Receita M�dia ADULTO,Meta Receita M�dia KIDS,Realizado Receita ADULTO,Realizado Receita KIDS,Realizado Receita TOTAL,Realizado Receita M�dia ADULTO,Realizado Receita M�dia KIDS,Realizado Receita M�dia TOTAL,Meta Sess�es Site,Meta Sess�es M�dia ADULTO,Meta Sess�es M�dia KIDS,Meta Sess�es M�dia TOTAL,Sess�es Realizadas Site,Realizado Sess�es M�dia TOTAL,Realizado Sess�es M�dia MKT ADULTO,Realizado Sess�es M�dia ECM ADULTO,Realizado Sess�es M�dia MKT KIDS,Realizado Sess�es M�dia ECM KIDS,Investimento Total,Investimento ECM ADULTO,Investimento ECM KIDS,Investimento MKT,Investimento MKT KIDS,CPS ECM ADULTO,CPS MKT ADULTO,CPS Geral ADULTO,ROAS ADULTO,ADCOST ADULTO,CPS ECM KIDS,CPS MKT KIDS,CPS Geral KIDS,ROAS KIDS,ADCOST KIDS,Investimento APP,Receita APP,ADCOST APP
01/fev,segunda-feira,R$266.185,R$96.374,R$362.559,R$154.387,R$53.006,R$177.092,R$37.904,R$214.996,R$103.251,R$19.160,R$122.411,133.941,73.668,29.467,103.135,94.591,64.218,1.948,24.271,2.201,8.845,30.938,R$15.382,R$8.023,R$5.069,R$2.464,0.63,2.6,0.78,6.7,8.69%,0.91,1.12,0.95,2.4,21.17%,R$7.461,R$11.539,10.58%
02/fev,ter�a-feira,R$255.947,R$92.668,R$348.615,R$148.449,R$50.967,R$173.959,R$44.747,R$218.707,R$100.715,R$18.253,R$118.968,146.988,80.843,32.337,113.181,74.800,46.744,1.005,25.006,2.135,7.833,29.288,R$16.141,R$6.087,R$5.003,R$2.057,0.65,4.98,0.81,6.2,9.28%,0.78,0.96,0.82,3,13.6%,R$6.430,R$13.793,4.76%
03/fev,quarta-feira,R$245.709,R$88.962,R$334.671,R$142.511,R$48.929,R$166.382,R$48.000,R$214.382,R$85.711,R$13.611,R$99.322,141.919,78.056,31.222,109.278,69.539,41.852,853,23.089,2.222,6.559,26.627,R$15.982,R$3.501,R$5.125,R$2.020,0.69,6.01,0.88,5.4,9.61%,0.53,0.91,0.63,3.9,7.29%,R$6.381,R$16.280,4.06%
04/fev,quinta-feira,R$317.374,R$114.909,R$432.283,R$184.077,R$63.200,R$210.248,R$63.582,R$273.830,R$117.353,R$23.562,R$140.915,139.385,76.662,30.665,107.327,75.684,45.679,901,25.707,2.485,7.505,30.363,R$19.061,R$3.847,R$5.137,R$2.317,0.74,5.7,0.91,6.2,9.07%,0.51,0.93,0.62,6.1,6.05%,R$7.136,R$20.207,4.24%
05/fev,sexta-feira,R$337.851,R$122.321,R$460.172,R$195.954,R$67.277,R$275.103,R$100.577,R$375.680,R$158.117,R$25.264,R$183.381,121.645,66.905,26.762,93.667,89.954,50.223,826,29.116,2.340,7.000,30.184,R$19.590,R$3.403,R$5.052,R$2.139,0.67,6.12,0.82,8.1,7.12%,0.49,0.91,0.59,7.4,3.38%,R$6.594,R$12.486,5.13%
06/fev,s�bado,R$381.636,R$138.175,R$519.811,R$221.349,R$75.996,R$204.217,R$79.926,R$284.142,R$112.213,R$23.481,R$135.694,180.380,99.209,39.683,138.892,82.264,46.767,808,27.311,2.079,6.787,28.833,R$18.218,R$3.517,R$5.036,R$2.063,0.67,6.23,0.83,6.2,8.92%,0.52,0.99,0.63,6.7,4.4%,R$6.039,R$8.797,4.69%
07/fev,domingo,R$614.273,R$222.403,R$836.676,R$356.278,R$122.322,R$449.416,R$118.674,R$568.090,R$250.679,R$34.854,R$285.533,155.460,85.503,34.201,119.704,96.941,52.653,749,30.364,1.945,6.879,37.138,R$26.868,R$3.623,R$4.640,R$2.007,0.88,6.19,1.01,9.3,5.98%,0.53,1.03,0.64,9.6,3.05%,R$7.407,R$31.971,2.23%
08/fev,segunda-feira,R$563.083,R$203.869,R$766.952,R$326.588,R$112.128,R$336.456,R$106.531,R$442.987,R$201.730,R$41.147,R$242.876,174.441,95.943,38.377,134.320,87.568,53.628,665,31.648,2.628,6.600,32.927,R$23.244,R$3.470,R$3.720,R$2.494,0.73,5.59,0.83,8.7,6.91%,0.53,0.95,0.65,11.9,3.26%,R$9.233,R$19.552,5.18%
09/fev,ter�a-feira,R$270.280,R$97.857,R$368.137,R$156.762,R$53.821,R$200.298,R$40.271,R$240.569,R$115.871,R$10.517,R$126.389,192.605,105.933,42.373,148.306,75.831,47.928,664,29.342,2.694,5.876,27.698,R$17.690,R$4.080,R$3.765,R$2.163,0.6,5.67,0.72,6.6,8.83%,0.69,0.8,0.73,2.6,10.13%,R$13.522,R$20.636,13.01%
10/fev,quarta-feira,R$200.741,R$72.680,R$273.421,R$116.430,R$39.974,R$169.093,R$43.149,R$212.241,R$96.303,R$18.749,R$115.053,182.914,100.602,40.241,140.843,69.793,47.863,683,28.302,3.769,8.091,24.847,R$14.028,R$4.620,R$3.783,R$2.416,0.5,5.54,0.61,8.3,8.3%,0.57,0.64,0.59,4.1,10.71%,R$11.172,R$11.058,14.06%
